,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,HTTPS_token,Result
0,2,1,1,1,2,2,2,2,2
1,1,1,1,1,1,2,0,2,2
2,1,0,1,1,1,2,2,2,2
3,1,0,1,1,1,2,2,2,2
4,1,0,2,1,1,2,1,1,1
5,2,0,2,1,2,2,1,2,1
6,1,0,2,1,1,2,2,1,2
7,1,0,1,1,1,2,2,2,2
8,1,0,2,1,1,2,1,2,1
9,1,1,2,1,1,2,2,1,2
10,1,1,1,1,1,2,0,1,1
11,1,1,2,1,1,2,1,1,2
12,2,1,2,1,2,2,0,2,2
13,1,1,2,1,1,2,0,1,2
14,1,1,2,1,1,1,2,2,1
15,1,2,2,2,1,2,0,1,2
16,1,2,2,1,1,2,1,2,2
17,1,2,1,1,1,2,2,1,2
18,1,1,1,1,1,2,2,2,1
19,1,1,1,1,1,2,2,1,1
20,1,0,2,1,1,2,0,1,1
21,1,0,1,1,1,2,0,2,1
22,1,1,1,1,1,2,2,2,1
23,1,1,1,1,1,2,1,1,1
24,1,2,2,2,1,2,1,2,1
25,1,2,1,1,1,2,0,1,1
26,1,2,1,1,1,2,0,2,2
27,1,2,2,1,1,1,2,1,1
28,1,2,2,1,2,1,2,1,1
29,1,2,1,1,1,2,2,1,1
30,1,2,1,1,1,2,2,2,1
31,1,2,1,1,1,2,2,2,1
32,1,2,1,1,1,1,1,1,1
33,1,0,1,1,1,2,2,1,1
34,1,0,1,1,1,2,0,1,2
35,1,0,1,1,1,2,2,2,2
36,1,0,1,1,1,2,2,2,2
37,1,0,1,1,1,2,2,1,2
38,1,1,1,1,1,1,2,1,1
39,1,2,1,1,1,2,0,2,1
40,1,2,1,1,1,1,1,2,1
41,2,2,2,1,2,2,1,2,1
42,1,2,1,1,1,2,2,1,2
43,1,2,1,1,1,2,0,2,2
44,1,2,1,2,1,2,0,1,2
45,1,1,1,1,1,2,0,1,1
46,2,1,2,1,2,1,2,2,1
47,1,2,1,1,1,2,2,2,2
48,1,2,1,1,1,2,2,1,2
49,1,2,1,1,1,2,1,1,1
50,1,2,1,1,1,2,1,2,2
51,1,1,1,1,1,2,1,1,1
52,2,2,2,1,2,1,2,2,1
53,1,2,1,1,1,2,1,1,2
54,1,2,1,1,1,2,0,2,2
55,1,2,1,1,1,2,0,1,2
56,2,2,2,1,2,1,1,2,1
57,1,2,1,1,1,2,1,1,1
58,1,2,1,1,1,2,2,2,2
59,2,2,2,1,2,2,0,2,2
60,1,2,1,1,1,2,1,1,2
61,1,2,1,1,1,2,1,2,2
62,1,1,1,1,1,1,0,1,1
63,1,2,1,1,1,2,2,1,2
64,1,1,1,1,2,1,1,1,1
65,1,2,1,1,1,2,0,1,1
66,1,1,1,1,2,2,2,1,2
67,1,2,1,1,2,2,0,1,2
68,1,2,1,1,1,1,2,2,1
69,1,2,1,1,2,2,2,1,2
70,1,2,1,1,1,2,1,1,1
71,2,2,2,1,2,2,1,2,1
72,1,2,1,1,1,2,2,1,2
73,1,2,1,1,2,1,2,1,1
74,1,2,1,1,2,2,0,2,2
75,1,2,1,1,2,2,1,2,2
76,1,2,1,1,2,1,0,2,1
77,1,2,1,1,2,1,1,1,1
78,1,2,1,1,1,2,2,1,2
79,2,2,2,1,2,2,2,2,1
80,1,2,1,1,2,2,0,1,2
81,1,1,1,1,1,2,0,1,1
82,1,2,1,1,1,1,2,1,1
83,1,1,1,2,1,2,1,2,1
84,1,1,1,1,1,2,1,2,1
85,2,2,2,1,1,2,0,2,2
86,1,2,1,1,2,2,1,2,2
87,1,1,1,1,2,2,2,2,1
88,1,2,1,1,1,1,1,1,1
89,2,1,2,1,2,2,0,2,2
90,1,2,1,1,1,2,1,2,2
91,2,2,2,1,2,1,1,2,1
92,1,2,1,1,1,2,1,2,1
93,1,2,1,1,1,2,2,1,2
94,1,2,1,1,1,2,1,1,1
95,1,2,1,1,1,2,2,1,2
96,1,2,1,1,1,2,1,1,2
97,1,1,1,1,1,2,2,2,2
98,2,2,2,1,2,2,2,2,2
99,1,2,1,1,1,2,1,2,1
100,1,2,1,1,1,2,2,2,2
101,1,2,1,1,1,2,2,2,2
102,1,2,1,1,1,2,0,1,1
103,1,2,1,1,1,2,2,1,2
104,1,2,1,1,1,2,2,1,1
105,1,2,1,1,1,2,2,1,2
106,1,2,1,1,1,2,2,1,2
107,1,2,1,1,1,2,1,1,2
108,1,2,1,1,1,2,0,1,1
109,1,2,1,1,1,2,2,1,2
110,1,2,1,1,1,2,1,2,1
111,1,2,1,1,1,2,2,1,2
112,1,2,1,1,1,2,1,1,2
113,1,2,1,1,1,1,2,1,1
114,1,1,1,1,1,2,2,1,2
115,1,2,1,1,1,2,0,1,1
116,2,1,2,1,2,2,1,2,2
117,1,2,1,1,1,2,0,1,2
118,1,2,1,1,1,1,1,1,1
119,1,2,1,1,1,2,1,1,1
120,1,2,1,1,1,2,2,2,1
121,1,2,1,1,1,1,0,1,1
122,1,1,1,1,1,1,0,1,1
123,1,2,1,1,1,2,2,1,1
124,1,2,1,1,1,2,2,1,2
125,1,1,1,1,1,2,0,1,1
126,1,2,1,1,1,2,0,1,1
127,1,1,1,1,1,2,1,1,1
128,1,2,1,1,1,1,0,1,1
129,1,2,1,1,2,2,2,1,2
130,1,2,1,1,2,2,2,1,2
131,1,2,1,1,1,2,2,2,1
132,1,2,1,1,2,2,1,1,2
133,2,2,2,1,1,2,2,2,1
134,1,2,1,1,1,2,0,1,2
135,1,2,1,1,2,2,1,1,1
136,1,2,1,1,1,2,2,1,2
137,2,2,2,1,1,1,1,2,1
138,1,2,1,1,1,2,0,1,2
139,1,2,1,1,2,2,2,2,2
140,1,2,1,1,1,2,2,1,2
141,1,1,1,2,1,2,0,1,2
142,1,2,1,1,1,2,1,1,2
143,1,2,1,1,1,2,1,1,2
144,1,1,1,1,1,2,2,1,2
145,1,2,1,1,1,2,2,1,2
146,1,2,1,1,1,2,2,1,2
147,1,2,1,1,1,2,0,1,1
148,1,2,1,1,1,2,2,1,1
149,1,1,1,1,1,2,1,1,1
150,2,1,2,1,2,2,2,2,1
151,1,2,1,1,1,2,1,1,1
152,1,2,1,1,1,2,2,2,1
153,1,2,1,1,1,2,2,1,1
154,1,2,1,2,1,2,2,1,2
155,1,2,1,1,1,2,1,1,1
156,2,2,2,1,2,2,2,2,2
157,1,2,1,1,1,2,0,1,2
158,1,2,1,1,1,2,0,1,1
159,1,2,1,1,1,2,0,1,1
160,1,2,1,1,1,2,1,1,1
161,1,2,1,1,1,2,1,2,1
162,2,2,2,1,2,2,0,2,2
163,1,1,1,1,1,1,2,2,1
164,1,2,1,1,1,2,0,2,2
165,1,1,1,1,1,1,2,1,1
166,2,2,2,1,2,2,2,2,1
167,1,2,1,1,1,2,1,1,1
168,1,2,1,1,1,2,2,1,2
169,1,2,1,1,1,1,0,1,1
170,2,2,2,1,2,2,0,2,2
171,1,2,1,1,1,2,1,1,1
172,1,2,1,1,1,2,2,1,1
173,2,2,2,1,2,1,2,2,1
174,1,2,1,1,1,2,0,2,2
175,1,2,1,1,1,1,2,2,1
176,1,2,1,1,1,2,2,1,2
177,1,2,1,1,1,2,0,1,2
178,1,2,1,1,1,2,2,1,1
179,1,2,1,1,1,2,0,1,1
180,1,2,1,1,1,2,2,1,1
181,1,2,1,1,1,1,2,1,1
182,2,2,2,1,2,2,1,2,1
183,1,2,1,1,1,2,2,1,2
184,1,2,1,1,1,2,1,1,1
185,1,2,1,1,1,2,2,1,2
186,1,2,1,1,1,2,0,1,1
187,1,2,1,1,1,2,1,1,2
188,2,2,2,1,2,2,0,2,2
189,1,2,1,1,1,2,0,1,1
190,1,2,1,1,1,2,2,1,1
191,1,2,1,1,1,2,0,1,2
192,1,2,1,1,1,1,1,1,1
193,1,2,1,1,1,2,0,1,2
194,1,2,1,1,1,2,2,1,2
195,2,2,2,1,2,2,0,2,1
196,1,1,1,1,1,2,0,1,1
197,1,2,1,1,1,2,2,1,2
198,1,2,1,1,1,2,0,1,2
199,1,2,1,1,1,1,1,1,1
200,1,2,1,1,1,2,0,1,2
201,1,1,1,1,1,2,0,1,1
202,1,2,1,1,1,1,0,1,1
203,1,2,1,1,1,2,2,1,1
204,1,2,1,1,1,2,2,1,2
205,2,1,2,1,2,2,0,2,2
206,1,2,1,1,1,2,1,1,1
207,1,2,1,1,1,2,1,1,1
208,1,1,1,1,1,2,1,2,1
209,1,2,1,1,1,2,2,2,2
210,1,2,1,1,1,2,0,2,1
211,2,2,2,1,2,2,0,2,1
212,1,2,1,1,1,2,2,1,1
213,1,2,1,1,1,2,0,1,1
214,1,1,1,1,1,2,2,1,1
215,1,2,1,2,1,2,0,1,2
216,1,2,1,1,1,2,1,1,1
217,1,2,1,1,1,2,0,1,1
218,1,2,1,1,1,2,2,1,2
219,1,2,1,1,1,2,1,1,1
220,1,2,1,1,1,2,0,1,2
221,1,1,1,1,1,2,1,1,1
222,1,2,1,1,1,2,1,1,1
223,1,1,1,1,1,2,0,1,2
224,1,2,1,1,1,2,0,2,2
225,1,2,1,1,1,2,2,1,2
226,1,2,1,1,1,2,2,1,2
227,1,2,1,1,1,2,2,1,1
228,2,2,2,1,2,2,1,2,1
229,1,2,1,1,1,2,2,1,2
230,1,2,1,1,1,2,2,1,2
231,1,2,1,1,1,1,1,1,1
232,1,2,1,1,1,2,0,1,1
233,1,2,1,1,1,2,2,1,1
234,2,1,2,1,2,2,0,2,1
235,1,2,1,1,1,2,2,1,1
236,1,2,1,1,1,2,2,1,1
237,1,2,1,1,1,1,2,1,1
238,2,2,2,1,2,1,1,2,1
239,1,2,1,2,1,2,0,2,2
240,1,2,1,1,1,2,1,1,1
241,1,2,1,1,1,2,0,1,2
242,1,2,1,1,1,2,1,1,2
243,1,2,1,1,1,2,1,1,1
244,1,2,1,1,1,2,2,1,2
245,1,2,1,1,1,2,0,1,2
246,1,1,1,1,1,2,1,1,2
247,2,1,2,1,2,2,2,2,2
248,1,2,1,1,1,2,2,1,2
249,1,2,1,1,1,2,2,1,2
250,1,2,1,1,1,2,2,2,2
251,2,2,2,1,2,2,0,2,2
252,1,2,1,1,1,2,2,1,1
253,1,2,1,1,1,1,2,1,1
254,1,2,1,1,1,2,2,1,2
255,1,2,1,1,1,2,1,1,1
256,1,2,1,1,1,2,0,1,2
257,1,2,1,1,1,2,0,1,2
258,1,2,1,1,1,2,0,1,1
259,1,2,1,1,1,2,0,1,1
260,1,1,1,1,1,2,0,1,1
261,1,2,1,1,1,2,1,1,1
262,1,2,1,1,1,2,0,1,1
263,1,2,1,1,1,2,2,2,1
264,1,2,1,1,1,2,2,2,2
265,1,2,1,1,1,1,0,2,1
266,1,2,1,1,1,2,2,1,2
267,1,2,1,1,1,1,0,1,1
268,1,2,1,2,1,1,1,1,1
269,2,1,2,1,2,1,0,2,1
270,1,2,1,1,1,2,0,1,2
271,2,1,2,1,2,1,1,2,1
272,1,2,1,1,1,2,0,1,1
273,1,2,1,1,1,2,2,1,1
274,1,2,1,1,1,2,0,1,1
275,1,2,1,1,1,2,1,1,1
276,1,2,1,1,1,2,1,1,1
277,1,2,1,1,1,2,0,1,1
278,1,2,1,1,1,2,2,1,2
279,1,2,1,1,1,2,1,1,1
280,1,2,1,1,1,2,1,1,1
281,1,2,1,1,1,2,0,1,2
282,1,2,1,1,1,2,1,1,1
283,2,1,2,1,2,1,1,2,1
284,1,2,1,1,1,2,2,1,2
285,1,2,1,1,1,2,2,1,2
286,1,2,1,2,1,2,0,1,2
287,1,2,1,2,1,2,2,1,1
288,1,2,1,1,1,2,1,1,1
289,1,2,1,1,1,2,0,1,2
290,1,2,1,2,1,2,2,1,1
291,2,1,2,1,2,1,0,2,1
292,1,2,1,1,1,2,1,1,1
293,1,2,1,1,1,2,2,1,2
294,1,2,1,1,1,1,2,1,1
295,1,2,1,1,1,2,2,1,1
296,1,1,1,1,1,2,2,1,1
297,1,2,1,1,1,2,0,1,2
298,1,2,1,1,1,2,2,1,1
299,1,2,1,1,1,2,0,1,2
300,1,1,1,2,1,1,2,1,1
301,1,2,1,1,1,2,0,1,2
302,1,2,1,1,1,2,1,1,1
303,1,2,1,1,1,2,2,1,2
304,1,2,1,1,1,2,0,1,1
305,1,1,1,1,1,2,0,1,1
306,1,2,1,1,1,2,1,2,1
307,1,2,1,1,1,2,2,1,1
308,1,2,1,2,1,2,2,1,1
309,1,2,1,1,1,2,2,1,1
310,1,2,1,1,1,2,1,1,1
311,1,2,1,1,1,2,0,1,2
312,1,2,1,1,1,2,2,1,2
313,1,2,1,1,1,2,2,1,1
314,1,1,1,1,1,2,2,1,1
315,1,2,1,1,1,2,2,1,2
316,1,2,1,1,1,2,1,1,2
317,1,2,1,1,1,2,1,1,1
318,1,2,1,1,1,1,1,1,1
319,1,2,1,1,1,2,0,1,2
320,2,2,2,1,2,2,2,2,1
321,2,1,2,1,2,1,0,2,1
322,1,2,1,1,1,2,1,1,1
323,1,2,1,1,1,2,1,1,1
324,2,2,2,1,2,2,0,2,1
325,1,2,1,1,1,1,2,1,1
326,1,1,1,1,1,2,0,1,2
327,2,1,2,1,2,2,0,2,2
328,1,2,1,1,1,2,2,1,2
329,1,1,1,2,1,2,2,1,1
330,1,1,1,1,1,2,2,1,1
331,2,2,2,1,2,2,0,2,1
332,1,2,1,1,1,1,2,1,1
333,1,2,1,2,1,2,1,1,1
334,1,1,1,1,1,2,2,1,2
335,1,2,1,1,1,2,1,1,2
336,1,2,1,1,1,2,1,1,1
337,1,2,1,1,1,2,0,1,2
338,1,2,1,1,1,2,2,1,2
339,2,1,2,1,2,2,1,2,1
340,1,2,1,1,1,2,2,1,1
341,1,2,1,1,1,2,1,1,1
342,1,1,1,1,1,2,1,1,1
343,1,2,1,1,1,2,1,1,1
344,1,2,1,1,1,2,0,1,1
345,1,1,1,1,1,2,2,1,1
346,1,1,1,1,1,2,2,1,2
347,1,2,1,1,1,2,0,1,1
348,1,2,1,1,1,1,1,1,1
349,1,2,1,1,1,2,0,1,1
350,1,2,1,1,1,2,0,1,2
351,1,2,1,1,1,2,2,1,1
352,1,2,1,1,1,2,0,1,2
353,1,2,1,1,1,2,0,1,1
354,1,2,1,1,1,2,2,1,1
355,1,2,1,1,1,2,1,1,2
356,1,2,1,2,1,2,0,1,1
357,1,2,1,1,1,1,0,1,1
358,1,2,1,1,1,2,1,1,1
359,1,2,1,1,1,2,2,1,1
360,1,2,1,1,1,2,2,1,2
361,1,2,1,1,1,2,2,1,2
362,1,2,1,1,1,2,2,1,1
363,1,2,1,1,1,2,2,1,2
364,1,2,1,1,1,2,0,1,1
365,2,2,2,1,2,2,2,2,1
366,1,1,1,1,1,2,1,1,1
367,1,2,1,1,1,2,1,1,1
368,2,2,2,1,2,2,2,2,2
369,1,2,1,1,1,2,2,1,2
370,1,2,1,1,1,1,1,1,1
371,1,2,1,1,1,2,1,1,1
372,1,2,1,2,1,2,2,1,2
373,1,2,1,1,1,2,1,1,1
374,1,2,1,1,1,2,2,1,2
375,1,1,1,1,1,2,0,1,1
376,1,2,1,1,1,1,1,1,1
377,2,2,2,1,2,2,0,2,2
378,2,2,2,1,2,1,1,2,1
379,1,2,1,1,1,2,2,1,1
380,1,2,1,1,1,2,0,1,1
381,1,2,1,1,1,2,2,1,1
382,1,2,1,1,1,2,2,1,2
383,1,2,1,1,1,2,0,1,2
384,1,2,1,1,1,2,0,1,2
385,2,2,2,1,2,2,2,2,1
386,2,1,2,1,2,2,0,2,2
387,1,2,1,1,1,2,0,1,1
388,1,2,1,1,1,2,1,1,1
389,1,2,1,1,1,2,2,1,2
390,1,2,1,1,1,2,0,1,2
391,1,2,1,1,1,2,1,1,1
392,2,1,2,1,2,2,0,2,1
393,1,2,1,1,1,2,2,1,2
394,1,2,1,1,1,2,1,1,1
395,1,2,1,1,1,2,1,1,1
396,1,2,1,1,1,1,0,1,1
397,1,1,1,1,1,2,1,1,1
398,1,2,1,1,1,2,0,1,1
399,1,2,1,1,1,2,1,1,1
400,1,2,1,1,1,2,0,1,1
401,1,2,1,1,1,2,2,1,2
402,1,2,1,1,1,2,1,1,1
403,1,2,1,1,1,1,2,1,1
404,1,1,1,1,1,2,1,1,1
405,1,2,1,1,1,1,0,1,1
406,1,2,1,1,1,2,0,1,1
407,1,2,1,1,1,2,2,1,1
408,1,2,1,1,1,2,0,1,1
409,1,2,1,1,1,2,1,1,1
410,1,2,1,1,1,2,1,1,1
411,1,2,1,1,1,2,2,1,1
412,1,2,1,1,1,1,2,1,1
413,1,2,1,1,1,1,2,1,1
414,1,2,1,1,1,2,2,1,2
415,1,2,1,1,1,2,2,1,2
416,1,2,1,1,1,2,2,1,2
417,1,2,1,1,1,2,2,1,2
418,1,2,1,1,1,2,1,1,2
419,2,2,2,1,2,2,0,2,2
420,2,2,2,1,2,2,2,2,2
421,1,2,1,1,1,2,2,1,2
422,1,2,1,1,1,2,1,1,1
423,1,2,1,1,1,2,1,1,1
424,1,2,1,2,1,2,1,1,1
